Time (days),pir2 (upwelling)
92.86597222,264.5
92.86666667,264.7
92.86736111,264.5
92.86805556,265.1
92.86875,265.6
92.86944444,265.7
92.87013889,266.4
92.87083333,266.2
92.87152778,266.1
92.87222222,265.5
92.87291667,264.8
92.87361111,265.1
92.87430556,265.6
92.875,266
92.87569444,265.8
92.87638889,265.6
92.87708333,266.1
92.87777778,266.4
92.87847222,265.9
92.87916667,265.7
92.87986111,265.7
92.88055556,265.2
92.88125,265.5
92.88194444,265.4
92.88263889,265.1
92.88333333,265.6
92.88402778,265.8
92.88472222,264.9
92.88541667,264.5
92.88611111,264.4
92.88680556,264.8
92.8875,264
92.88819444,264.4
92.88888889,264.2
92.88958333,264.7
92.89027778,264.7
92.89097222,264.1
92.89166667,263.6
92.89236111,263.7
92.89305556,263.6
92.89375,263.5
92.89444444,263.7
92.89513889,263
92.89583333,263.1
92.89652778,263.4
92.89722222,263.5
92.89791667,263.6
92.89861111,263.6
92.89930556,263.6
92.9,263.6
92.90069444,263.7
92.90138889,263.6
92.90208333,263.4
92.90277778,263
92.90347222,263.2
92.90416667,263.4
92.90486111,263
92.90555556,262.7
92.90625,262.9
92.90694444,262.6
92.90763889,262.3
92.90833333,261.6
92.90902778,260.8
92.90972222,260.7
92.91041667,260.7
92.91111111,261.2
92.91180556,261.5
92.9125,261.6
92.91319444,261.7
92.91388889,261.8
92.91458333,262
92.91527778,262.2
92.91597222,261.8
92.91666667,261.9
92.91736111,262.1
92.91805556,262.1
92.91875,262
92.91944444,261.7
92.92013889,261.6
92.92083333,261.6
92.92152778,261.4
92.92222222,261.2
92.92291667,261.1
92.92361111,261.2
92.92430556,260.5
92.925,260.5
92.92569444,260.3
92.92638889,260.5
92.92708333,261.3
92.92777778,261.1
92.92847222,260.8
92.92916667,260.2
92.92986111,261.3
92.93055556,263
92.93125,261.3
92.93194444,262
92.93263889,262.1
92.93333333,262
92.93402778,261.8
92.93472222,261.1
92.93541667,260.5
92.93611111,260.3
92.93680556,260
92.9375,259.7
92.93819444,259.5
92.93888889,259.7
92.93958333,260.5
92.94027778,260.5
92.94097222,260
92.94166667,260.1
92.94236111,259.7
92.94305556,259.2
92.94375,258.8
92.94444444,258.3
92.94513889,258.3
92.94583333,257.9
92.94652778,257.5
92.94722222,257.8
92.94791667,258.1
92.94861111,258.2
92.94930556,258.3
92.95,258.5
92.95069444,258.7
92.95138889,258.8
92.95208333,257.7
92.95277778,257.3
92.95347222,257.2
92.95416667,256.5
92.95486111,256.5
92.95555556,257.4
92.95625,257.9
92.95694444,258.3
92.95763889,258.9
92.95833333,259.4
92.95902778,260
92.95972222,260.5
92.96041667,261.1
92.96111111,261.6
92.96180556,261.7
92.9625,261.6
92.96319444,261.5
92.96388889,261.3
92.96458333,261.5
92.96527778,261.2
92.96597222,261.1
92.96666667,260.8
92.96736111,260.6
92.96805556,260.6
92.96875,260.2
92.96944444,259.9
92.97013889,259.8
92.97083333,259.8
92.97152778,260.1
92.97222222,260.5
92.97291667,260.1
92.97361111,260.2
92.97430556,260.1
92.975,260
92.97569444,260.5
92.97638889,260.5
92.97708333,260.7
92.97777778,260.9
92.97847222,260.7
92.97916667,260.2
92.97986111,259.8
92.98055556,259.8
92.98125,259.8
92.98194444,259.8
92.98263889,259.8
92.98333333,259.3
92.98402778,258.7
92.98472222,258.1
92.98541667,257.6
92.98611111,257.6
92.98680556,257.4
92.9875,257.1
92.98819444,257
92.98888889,256.8
92.98958333,256.8
92.99027778,257.4
92.99097222,257.4
92.99166667,258
92.99236111,258.3
92.99305556,258.6
92.99375,259.2
92.99444444,259.3
92.99513889,259.3
92.99583333,258.9
92.99652778,258.2
92.99722222,258.3
92.99791667,258.7
92.99861111,258.5
92.99930556,258.9
93,259.3
93.00069444,259.8
93.00138889,260.1
93.00208333,260.3
93.00277778,260.5
93.00347222,260.6
93.00416667,260.6
93.00486111,260.5
93.00555556,260.7
93.00625,261.1
93.00694444,261.3
93.00763889,261.6
93.00833333,261.8
93.00902778,261.7
93.00972222,261.8
93.01041667,261.8
93.01111111,261.8
93.01180556,262.1
93.0125,262.2
93.01319444,262.4
93.01388889,262.4
93.01458333,262
93.01527778,261.8
93.01597222,261.8
93.01666667,261.8
93.01736111,261.6
93.01805556,261.5
93.01875,261.5
93.01944444,261.3
93.02013889,261.4
93.02083333,261.3
93.02152778,261.3
93.02222222,261.4
93.02291667,261.6
93.02361111,261.8
93.02430556,261.8
93.025,261.8
93.02569444,262.2
93.02638889,262.4
93.02708333,262.4
93.02777778,262.4
93.02847222,262.3
93.02916667,262.1
93.02986111,261.8
93.03055556,261.6
93.03125,260.9
93.03194444,260.6
93.03263889,260.3
93.03333333,260.2
93.03402778,260.2
93.03472222,259.9
93.03541667,259.8
93.03611111,259.8
93.03680556,259.9
93.0375,260.5
93.03819444,260.5
93.03888889,260.8
93.03958333,260.8
93.04027778,260.5
93.04097222,260.5
93.04166667,261.1
93.04236111,261.6
93.04305556,261.8
93.04375,261.8
93.04444444,261.5
93.04513889,260.9
93.04583333,260.5
93.04652778,260.8
93.04722222,260.9
93.04791667,261.1
93.04861111,260.6
93.04930556,260.3
93.05,260.2
93.05069444,259.8
93.05138889,259.8
93.05208333,259.3
93.05277778,259.3
93.05347222,259.3
93.05416667,259.7
93.05486111,260.3
93.05555556,260.5
93.05625,261
93.05694444,261.2
93.05763889,261.3
93.05833333,261.3
93.05902778,261.8
93.05972222,261.8
